iata_code,municipality,country
AAF,Apalachicola,United States of America
ABE,Allentown,United States of America
ABI,Abilene,United States of America
ABL,Ambler,United States of America
ABQ,Albuquerque,United States of America
ABR,Aberdeen,United States of America
ABY,Albany,United States of America
ACB,Bellaire,United States of America
ACK,Nantucket,United States of America
ACT,Waco,United States of America
ACV,Arcata/Eureka,United States of America
ACY,Atlantic City,United States of America
ADG,Adrian,United States of America
ADK,Adak,United States of America
ADM,Ardmore,United States of America
ADQ,Kodiak,United States of America
ADR,Andrews,United States of America
ADS,Dallas,United States of America
ADT,Ada,United States of America
ADW,Camp Springs,United States of America
AEL,Albert Lea,United States of America
AET,Allakaket,United States of America
AEX,Alexandria,United States of America
AFF,Colorado Springs,United States of America
AFN,Jaffrey,United States of America
AFO,Afton,United States of America
AFW,Fort Worth,United States of America
AGC,Pittsburgh,United States of America
AGO,Magnolia,United States of America
AGS,Augusta,United States of America
AHC,Herlong,United States of America
AHD,Ardmore,United States of America
AHF,Arapahoe,United States of America
AHH,Amery,United States of America
AHM,Ashland,United States of America
AHN,Athens,United States of America
AIA,Alliance,United States of America
AID,Anderson,United States of America
AIK,Aiken,United States of America
AIN,Wainwright,United States of America
AIO,Atlantic,United States of America
AIV,Aliceville,United States of America
AIZ,Kaiser Lake Ozark,United States of America
AKB,Atka,United States of America
AKC,Akron,United States of America
AKI,Akiak,United States of America
AKK,Akhiok,United States of America
AKN,King Salmon,United States of America
AKO,Akron,United States of America
AKP,Anaktuvuk Pass,United States of America
ALB,Albany,United States of America
ALE,Alpine,United States of America
ALI,Alice,United States of America
ALM,Alamogordo,United States of America
ALN,Alton/St Louis,United States of America
ALO,Waterloo,United States of America
ALS,Alamosa,United States of America
ALW,Walla Walla,United States of America
ALX,Alexander City,United States of America
AMA,Amarillo,United States of America
AMK,Durango,United States of America
AMN,Alma,United States of America
AMW,Ames,United States of America
ANB,Anniston,United States of America
ANC,Anchorage,United States of America
AND,Anderson,United States of America
ANI,Aniak,United States of America
ANN,Metlakatla,United States of America
ANP,Annapolis,United States of America
ANQ,Angola,United States of America
ANV,Anvik,United States of America
ANW,Ainsworth,United States of America
ANY,Anthony,United States of America
AOH,Lima,United States of America
AOO,Altoona,United States of America
APA,Denver,United States of America
APC,Napa,United States of America
APF,Naples,United States of America
APG,Aberdeen,United States of America
APH,Bowling Green,United States of America
APN,Alpena,United States of America
APT,Jasper,United States of America
APV,Apple Valley,United States of America
AQY,Girdwood,United States of America
ARA,New Iberia,United States of America
ARB,Ann Arbor,United States of America
ARC,Arctic Village,United States of America
ARG,Walnut Ridge,United States of America
ART,Watertown,United States of America
ARV,Woodruff,United States of America
ASE,Aspen,United States of America
ASH,Nashua,United States of America
ASL,Marshall,United States of America
ASN,Talladega,United States of America
ASQ,Austin,United States of America
AST,Astoria,United States of America
ASX,Ashland,United States of America
ASY,Ashley,United States of America
ATE,Antlers,United States of America
ATK,Atqasuk,United States of America
ATL,Atlanta,United States of America
ATO,Albany,United States of America
ATS,Artesia,United States of America
ATT,Atmautluak,United States of America
ATW,Appleton,United States of America
ATY,Watertown,United States of America
AUG,Augusta,United States of America
